neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
1,28,1,100,0.004004004004004004,0,0.0007698229407236335,3,0,2015,3,21
0,34,0,229,0.002002002002002002,0,0.041570438799076216,0,0,2019,8,12
1,26,1,158,0.005005005005005005,1,0.0038491147036181675,1,363,2019,8,12
0,7,1,160,0.001001001001001001,2,0.004618937644341801,0,0,2016,1,26
1,25,0,60,0.0,1,0.003079291762894534,0,0,2015,8,15
1,36,1,300,0.006006006006006006,3,0.03387220939183987,3,275,2019,4,21
1,25,1,390,0.0,3,0.2263279445727483,1,265,2019,8,26
1,35,0,69,0.02002002002002002,3,0.023864511162432638,1,141,2019,8,4
1,26,0,132,0.001001001001001001,1,0.0023094688221709007,0,362,2017,12,22
1,31,0,60,0.0,3,0.023864511162432638,2,347,2019,7,21
1,31,0,60,0.0,3,0.07621247113163972,2,342,2019,8,5
1,36,0,208,0.0,0,0.041570438799076216,0,0,2019,8,12
1,21,1,164,0.001001001001001001,2,0.008468052347959968,0,0,2017,5,1
1,17,0,49,0.002002002002002002,3,0.09699769053117782,1,0,2019,2,25
1,32,1,160,0.002002002002002002,3,0.12471131639722863,1,158,2019,8,14
1,28,1,137,0.006006006006006006,3,0.023864511162432638,3,361,2019,5,13
1,17,0,49,0.002002002002002002,3,0.0846805234795997,1,0,2019,2,24
1,26,1,158,0.005005005005005005,2,0.008468052347959968,1,340,2019,7,9
1,36,1,300,0.009009009009009009,3,0.04234026173979985,3,365,2019,7,28
1,31,0,154,0.0,0,0.041570438799076216,0,364,2019,8,12
1,21,1,250,0.002002002002002002,3,0.05696689761354888,1,65,2019,8,10
1,25,1,81,0.028028028028028028,2,0.012317167051578136,1,211,2019,7,7
1,31,0,60,0.0,3,0.03541185527328714,2,353,2019,8,12
1,25,1,224,0.02902902902902903,3,0.01924557351809084,1,365,2017,12,16
1,35,1,149,0.006006006006006006,3,0.020015396458814474,2,0,2018,9,20
1,28,1,90,0.004004004004004004,2,0.012317167051578136,3,55,2019,7,18
1,36,1,300,0.013013013013013013,3,0.05850654349499615,3,365,2019,5,25
1,25,0,62,0.0,0,0.041570438799076216,0,0,2019,8,12
1,36,1,149,0.001001001001001001,0,0.0007698229407236335,0,0,2015,12,22
1,26,0,60,0.004004004004004004,2,0.009237875288683603,0,0,2016,7,12
1,21,0,160,0.36436436436436437,0,0.041570438799076216,0,363,2019,8,12
1,25,1,201,0.006006006006006006,3,0.03464203233256351,3,309,2018,7,18
1,31,1,75,0.0,2,0.05465742879137798,1,359,2019,8,12
1,28,1,119,0.001001001001001001,3,0.2340261739799846,2,122,2019,8,7
1,28,1,115,0.001001001001001001,3,0.27713625866050806,2,0,2019,8,9
1,22,0,146,0.0,0,0.041570438799076216,0,0,2019,8,12
1,28,1,119,0.001001001001001001,3,0.2448036951501155,2,105,2019,8,7
1,28,1,115,0.001001001001001001,3,0.2640492686682063,2,96,2019,8,11
1,28,1,90,0.001001001001001001,3,0.2263279445727483,2,58,2019,8,5
1,28,1,106,0.001001001001001001,3,0.3448806774441879,2,63,2019,8,8
1,25,0,208,0.0,0,0.041570438799076216,0,0,2019,8,12
1,25,1,106,0.0,3,0.03079291762894534,1,336,2019,8,26
1,29,0,49,0.001001001001001001,2,0.04695919938414164,0,344,2019,8,11
